participant_id,sex,age,height_in,survey_weight
131985,female,44,66.2,78968.358
131988,female,71,63.9,13756.242
131990,male,50,69.5,17874.692
131991,female,71,66.0,13261.631
131992,female,73,66.3,14138.25
131997,male,69,64.6,13274.549
131998,female,55,65.4,47933.025
132000,female,67,58.9,9553.224
132001,male,64,62.4,29236.932
132007,male,53,69.6,30734.481
132008,female,63,65.8,15995.4
132010,female,32,64.4,74140.772
132011,male,24,72.2,36499.364
132014,female,54,63.1,32766.933
132017,female,53,69.3,18589.961
132021,male,62,74.2,31322.198
132028,female,44,64.4,91187.842
132029,female,56,62.6,135288.943
132030,male,68,72.7,31372.199
132031,female,76,60.1,30891.313
132032,male,52,72.3,122299.28
132033,male,39,68.2,81903.052
132036,male,79,61.0,22518.179
132037,male,65,65.4,20728.519
132038,female,71,61.9,10804.748
132041,male,38,64.2,35401.32
132045,male,30,69.9,24438.639
132046,male,72,67.3,30690.146
132049,male,70,66.7,29797.775
132053,male,34,71.0,68961.004
132055,female,76,62.4,16115.312
132056,female,65,59.8,17624.979
132059,female,37,65.4,26653.021
132060,male,21,71.0,59793.332
132061,male,70,66.9,12879.664
132062,male,60,167.6,51467.011
132063,male,80,67.8,12395.218
132064,male,28,70.7,166307.634
132065,female,79,59.5,34449.504
132067,male,30,68.4,31174.086
132071,female,51,61.9,83422.114
132072,male,58,66.9,18502.858
132073,male,79,67.3,52943.645
132074,male,47,67.9,16190.285
132075,male,69,66.7,49924.99
132077,male,80,61.7,43721.509
132079,female,61,62.8,47703.826
132080,female,80,59.3,35288.08
132085,female,65,64.6,22057.696
132087,female,59,63.0,23891.069
132088,female,73,59.8,33138.186
132092,male,52,71.8,7060.743
132093,female,60,65.2,31179.672
132095,female,70,59.8,14538.378
132097,female,48,63.5,41655.199
132098,female,49,59.2,80604.862
132099,male,61,69.8,9916.517
132101,male,52,71.5,56875.964
132102,female,43,63.3,52374.237
132105,female,80,61.5,33540.374
132107,female,54,64.0,12965.25
132109,female,75,156.1,29487.406
132110,male,51,69.9,64970.952
132112,female,31,57.8,114205.413
132116,female,40,68.1,52160.735
132118,female,78,64.2,14778.793
